scenario_id,mu,xi,rho_kgm3,release_volume_m3,runout_max_m,peak_velocity_ms,peak_flow_depth_m,peak_pressure_kpa,reach_area_m2,reached_road,distance_to_road_m,depth_at_road_m,velocity_at_road_ms,chainage_m,entrainment_method,entrainment_area_m2
scenario_015,0.155,1500.0,300.5,9921.3,860.0,27.71,7.63,0.23,138091.0,True,0.0,0.22,1.09,3942.5,alpha_beta,120677.65260573788
scenario_012,0.155,1500.0,300.5,8901.8,853.7,26.21,6.91,0.21,132911.0,True,0.0,0.18,1.14,439.3,alpha_beta,121261.60582612937
scenario_014,0.155,1500.0,300.5,7631.8,843.9,26.04,6.26,0.2,125845.0,True,0.0,0.2,1.42,3943.5,alpha_beta,120677.65260573788
scenario_011,0.155,1500.0,300.5,6847.5,837.1,25.19,5.94,0.19,120938.0,True,0.0,0.12,0.82,439.3,alpha_beta,121261.60582612937
scenario_009,0.155,1500.0,300.5,6786.5,834.9,23.9,4.97,0.17,109462.0,True,0.0,0.15,0.95,439.3,alpha_beta,123001.37969372126
scenario_013,0.155,1500.0,300.5,5723.8,832.7,24.26,5.53,0.18,115852.0,True,0.0,0.14,0.79,3943.5,alpha_beta,120677.65260573788
scenario_010,0.155,1500.0,300.5,5135.6,830.7,23.97,5.38,0.17,111087.0,True,0.0,0.23,0.66,440.3,alpha_beta,121261.60582612937
scenario_006,0.155,1500.0,300.5,5830.2,829.8,23.29,4.76,0.16,98415.0,True,0.0,0.3,1.03,440.3,alpha_beta,122390.74918270188
scenario_007,0.155,1500.0,300.5,3915.3,829.3,21.62,3.87,0.14,91783.0,True,0.0,0.25,0.87,440.3,alpha_beta,123001.37969372126
scenario_008,0.155,1500.0,300.5,5220.4,829.3,22.77,4.31,0.16,99865.0,True,0.0,0.2,0.55,439.3,alpha_beta,123001.37969372126
scenario_005,0.155,1500.0,300.5,4484.8,827.5,22.11,4.09,0.15,88509.0,True,0.0,0.27,1.19,440.3,alpha_beta,122390.74918270188
scenario_003,0.155,1500.0,300.5,5410.9,827.3,22.45,4.53,0.15,96751.0,True,0.0,0.26,0.55,440.3,alpha_beta,122810.61846233041
scenario_002,0.155,1500.0,300.5,4162.2,826.6,21.59,3.86,0.14,87018.0,True,0.0,0.21,0.91,441.3,alpha_beta,122810.61846233041
scenario_004,0.155,1500.0,300.5,3363.6,826.3,20.97,3.36,0.13,79177.0,True,0.0,0.21,0.65,441.3,alpha_beta,122390.74918270188
scenario_001,0.155,1500.0,300.5,3121.7,821.7,21.0,3.21,0.13,76702.0,True,0.0,0.29,1.13,443.3,alpha_beta,122810.61846233041
